City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Yellowknife,CA,2022-11-08 23:01:45,62.456,-114.3525,10.56,92,100,1.99
68,Mehamn,NO,2022-11-08 23:04:19,71.0357,27.8492,35.51,100,20,2.3
69,Kaitangata,NZ,2022-11-08 22:58:44,-46.2817,169.8464,64.8,51,97,8.19
70,Bahawalpur,PK,2022-11-08 23:04:20,29.4,71.6833,68.58,43,0,6.02
71,Adrar,MR,2022-11-08 23:02:23,20.5022,-10.0711,77.65,15,99,9.86
72,Cabo San Lucas,MX,2022-11-08 23:01:06,22.8909,-109.9124,81.18,66,12,12.53
73,Sokoto,NG,2022-11-08 23:04:20,13.0609,5.239,78.91,18,18,8.77
74,Hopelchen,MX,2022-11-08 23:04:21,19.7667,-89.85,77.9,72,93,3.47
75,Port Elizabeth,ZA,2022-11-08 23:04:21,-33.918,25.5701,66.09,75,78,8.01
76,Kununurra,AU,2022-11-08 23:04:21,-15.7667,128.7333,85.98,70,13,2.3
77,Hobyo,SO,2022-11-08 23:04:22,5.3505,48.5268,79.66,76,13,7.83
78,Hermanus,ZA,2022-11-08 22:58:37,-34.4187,19.2345,59.81,78,71,10.76
79,Burns Lake,CA,2022-11-08 23:00:14,54.2331,-125.7533,11.71,52,27,2.44
80,Jeremie,HT,2022-11-08 23:04:23,18.65,-74.1167,79.29,77,42,4.47
81,Koumac,NC,2022-11-08 23:04:23,-20.5667,164.2833,77.4,80,57,17.81
82,Lompoc,US,2022-11-08 23:04:23,34.6391,-120.4579,55.78,89,100,8.05
83,Jaumave,MX,2022-11-08 23:04:24,23.4167,-99.3833,78.21,51,2,5.68
84,Pisco,PE,2022-11-08 23:03:30,-13.7,-76.2167,64.45,77,9,5.75
85,Chauk,MM,2022-11-08 23:04:24,20.8833,94.8167,70.34,72,43,4.36
86,Kahului,US,2022-11-08 23:02:24,20.8947,-156.47,83.84,75,94,14.0
87,Luderitz,NA,2022-11-08 23:04:25,-26.6481,15.1594,59.22,84,70,10.29
88,Amapa,BR,2022-11-08 23:04:25,1.0,-52.0,72.12,99,100,2.82
